fac,hospital_name,hospital_type,robots_allowed,base_url,hospital_type_group,cihi_peer_group,licensed_beds,n_directions,extraction_quality,plan_period_start,plan_period_end,plan_start_year,plan_period_parse_ok,has_vision,has_mission,has_values,has_purpose,source_type,extraction_date,has_extraction
910,TORONTO CASEY HOUSE,Small Hospital,TRUE,https://caseyhouse.ca,Community — Small,NA,NA,NA,no_data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
916,HEADWATERS,Large Community Hospital,TRUE,https://www.headwatershealth.ca,Community — Large,NA,NA,4,full,2024-01-01,2029-01-01,2024,TRUE,TRUE,FALSE,TRUE,TRUE,pdf,2026-03-27,TRUE
927,Windsor Hotel Dieu Grace,Chronic/Rehab Hospital,FALSE,https://www.hdgh.org,Specialty,NA,NA,NA,no_data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
928,PERTH SMITHS FALLS,Large Community Hospital,TRUE,https://psfdh.on.ca,Community — Large,NA,NA,4,partial,2023-01-01,2027-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
930,WRHN-KITCHENER GRAND RIVER,Large Community Hospital,TRUE,https://www.grhosp.on.ca,Community — Large,NA,NA,NA,no_data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
931,PARRY SOUND WEST PARRY SOUND,Large Community Hospital,TRUE,https://www.wpshc.com,Community — Large,NA,NA,4,full,2023-01-01,2025-01-01,2023,TRUE,TRUE,TRUE,TRUE,TRUE,pdf,2026-03-27,TRUE
932,Elizabeth Bruyere Hospital,Chronic/Rehab Hospital,TRUE,https://www.bruyere.org,Specialty,NA,NA,5,partial,2024-01-01,2030-01-01,2024,TRUE,TRUE,TRUE,TRUE,FALSE,html,2026-03-27,TRUE
933,WINDSOR REGIONAL HOSPITAL,Large Community Hospital,FALSE,https://www.wrh.on.ca,Community — Large,NA,NA,NA,no_data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
935,Thunder Bay Regional Health Sciences Centre,Teaching Hospital,TRUE,https://tbrhsc.net,Teaching,NA,NA,5,full,2023-01-01,2026-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
936,LONDON HEALTH SCIENCES,Teaching Hospital,TRUE,https://www.lhsc.on.ca,Teaching,NA,NA,6,full,2023-01-01,2027-01-01,2023,TRUE,TRUE,FALSE,TRUE,FALSE,html,2026-03-27,TRUE
938,DYSART ET AL HALIBURTON HEALTH SER,Small Hospital,TRUE,https://www.hhhs.ca,Community — Small,NA,NA,4,thin,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,pdf,2026-03-28,TRUE
939,TORONTO HOLLAND BLOORVIEW KIDS,Chronic/Rehab Hospital,TRUE,https://hollandbloorview.ca,Specialty,NA,NA,4,full,2023-01-01,2030-01-01,2023,TRUE,TRUE,TRUE,FALSE,FALSE,pdf,2026-03-28,TRUE
940,COBOURG NORTHUMBERLAND HILLS,Large Community Hospital,TRUE,https://nhh.ca,Community — Large,NA,NA,4,partial,2023-01-01,2026-01-01,2023,TRUE,FALSE,FALSE,TRUE,TRUE,pdf,2026-03-27,TRUE
941,Humber River Hospital,Large Community Hospital,TRUE,https://www.hrh.ca,Community — Large,NA,NA,4,full,2023-01-01,2026-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-04-10,TRUE
942,HAMILTON HEALTH SCIENCES CORP,Teaching Hospital,TRUE,https://www.hamiltonhealthsciences.ca,Teaching,NA,NA,4,full,2026-01-01,2030-01-01,2026,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-31,TRUE
946,KINCARDINE SOUTH BRUCE GREY,Small Hospital,TRUE,https://www.sbghc.on.ca,Community — Small,NA,NA,3,full,2026-01-01,2030-01-01,2026,TRUE,TRUE,TRUE,TRUE,TRUE,pdf_image,2026-04-06,TRUE
947,TORONTO UNIVERSITY HEALTH NETWORK,Teaching Hospital,TRUE,https://www.uhn.ca,Teaching,NA,NA,6,full,2025-01-01,2030-01-01,2025,TRUE,TRUE,FALSE,TRUE,TRUE,pdf,2026-03-27,TRUE
948,TORONTO ADDICTION & MENTAL HEALTH,Specialty Mental Health Hospital,TRUE,https://www.camh.ca,Specialty,NA,NA,3,full,2024-01-01,2030-01-01,2024,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
950,HALTON HEALTHCARE,Large Community Hospital,TRUE,https://www.haltonhealthcare.on.ca,Community — Large,NA,NA,4,full,2021-01-01,2026-01-01,2021,TRUE,TRUE,TRUE,TRUE,TRUE,pdf,2026-03-27,TRUE
951,BRAMPTON WILLIAM OSLER,Large Community Hospital,TRUE,https://www.williamoslerhs.ca,Community — Large,NA,NA,9,full,2024-01-01,2029-01-01,2024,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
952,Lakeridge Health,Large Community Hospital,TRUE,https://www.lh.ca,Community — Large,NA,NA,4,full,2019-01-01,2024-01-01,2019,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
953,Sunnybrook Health Sciences Centre,Teaching Hospital,TRUE,https://sunnybrook.ca,Teaching,NA,NA,7,full,2030-01-01,NA,2030,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
955,GREY BRUCE HEALTH SERVICES  Brightshores,Large Community Hospital,TRUE,https://www.brightshores.ca,Community — Large,NA,NA,4,full,2023-01-01,2025-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
957,BELLEVILLE QUINTE HEALTH CARE,Large Community Hospital,TRUE,https://quintehealth.ca,Community — Large,NA,NA,4,partial,2023-01-01,2028-01-01,2023,TRUE,TRUE,FALSE,TRUE,TRUE,pdf,2026-03-27,TRUE
958,OTTAWA THE OTTAWA HOSPITAL,Teaching Hospital,TRUE,https://www.ottawahospital.on.ca,Teaching,NA,NA,4,full,2023-01-01,NA,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-28,TRUE
959,SUDBURY HEALTH SCIENCES NORTH,Teaching Hospital,TRUE,https://hsnsudbury.ca,Teaching,NA,NA,5,full,2026-01-01,2030-01-01,2026,TRUE,TRUE,TRUE,TRUE,FALSE,pdf_image,2026-03-31,TRUE
961,OTTAWA HEART INSTITUTE,Teaching Hospital,TRUE,https://www.ottawaheart.ca,Teaching,NA,NA,3,full,2025-01-01,2030-01-01,2025,TRUE,FALSE,FALSE,FALSE,TRUE,pdf,2026-04-10,TRUE
962,ST CATHARINES NIAGARA HEALTH SYSTEM,Large Community Hospital,TRUE,https://www.niagarahealth.on.ca,Community — Large,NA,NA,3,full,2023-01-01,2028-01-01,2023,TRUE,TRUE,FALSE,TRUE,TRUE,pdf,2026-03-27,TRUE
963,MOUNT FOREST NORTH WELLINGTON HC,Small Hospital,TRUE,https://gmch.whca.ca,Community — Small,NA,NA,5,full,2023-01-01,2028-01-01,2023,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-31,TRUE
964,SIOUX LOOKOUT MENO-YA-WIN HC,Small Hospital,TRUE,https://slmhc.on.ca,Community — Small,NA,NA,7,full,2025-01-01,2028-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf_image,2026-03-31,TRUE
965,SAULT STE MARIE SAULT AREA,Large Community Hospital,TRUE,https://sah.on.ca,Community — Large,NA,NA,3,full,2022-01-01,2025-01-01,2022,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
966,SARNIA BLUEWATER HEALTH,Large Community Hospital,FALSE,https://www.bluewaterhealth.ca,Community — Large,NA,NA,NA,no_data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
967,CORNWALL COMMUNITY,Large Community Hospital,TRUE,https://www.cornwallhospital.ca,Community — Large,NA,NA,3,partial,2022-01-01,2027-01-01,2022,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
968,HUNTSVILLE MUSKOKA ALGONQUIN HC,Large Community Hospital,TRUE,https://www.mahc.ca,Community — Large,NA,NA,4,full,2025-01-01,2030-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-28,TRUE
969,WHITBY ONT SHORES CENTRE MH SCIENCE,Specialty Mental Health Hospital,TRUE,https://www.ontarioshores.ca,Specialty,NA,NA,3,full,2022-01-01,2026-01-01,2022,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-28,TRUE
970,Brantford Brant Community,Large Community Hospital,TRUE,https://www.bchsys.org,Community — Large,NA,NA,4,full,2025-01-01,2030-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
971,SUDBURY ST.JOSEPHS CONTINUING CARE,Small Hospital,FALSE,https://www.sjsudbury.com,Community — Small,NA,NA,4,full,2025-01-01,2029-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-28,TRUE
972,PENETANGUISHENE WAYPOINT,Specialty Mental Health Hospital,TRUE,https://www.waypointcentre.ca,Specialty,NA,NA,4,full,2026-01-01,2035-01-01,2026,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
